Removed Pin From Net: NetName=1WIRE_BUS Pin=D7-3
Removed Pin From Net: NetName=UART.RX Pin=R43-1
Removed Pin From Net: NetName=1WIRE_BUS Pin=R43-2
Removed Pin From Net: NetName=GND Pin=R56-1
Removed Pin From Net: NetName=GND Pin=R58-1
Removed Pin From Net: NetName=GND Pin=R59-1
Removed Pin From Net: NetName=1WIRE_BUS Pin=U7-2
Removed Member From Class: ClassName=1Wire Member=D7
Removed Member From Class: ClassName=1Wire Member=R43
Change Component Footprint: Designator=J1 Old Footprint=DF40HC(3.0)-100DS-0.4V(51-Footprint-1 New Footprint=DF40HC(3.0)-100DS-0.4V(51-Footprint-1
Change Component Footprint: Designator=J2 Old Footprint=DF40HC(3.0)-100DS-0.4V(51-Footprint-1 New Footprint=DF40HC(3.0)-100DS-0.4V(51-Footprint-1
Change Component Footprint: Designator=R43 Old Footprint=SMD_RES_0402(1005)_N New Footprint=SMD_RES_2512(6432)_N
Change Component Footprint: Designator=D7 Old Footprint=SOT23-3 New Footprint=LED_3MM_SPACED_6.4MM_BLUE
Change Component Comment : Designator=J11 Old Comment=C71827 New Comment=B2100S40PE000
Change Component Comment : Designator=D7 Old Comment=LBAT54ALT1G New Comment=TJ-L3FYTGCBMCGSFLC6B-A5
Change Component Comment : Designator=R43 Old Comment=RC0402FR-070RL New Comment=AC2512FK-07470RL
Change Managed Component Library Link : Designator=J1 Old VaultGUID=D814680C-BF6A-48BF-A460-F1E8172B4765 New VaultGUID=D814680C-BF6A-48BF-A460-F1E8172B4765 Old ItemGUID=30d6e968-bd07-405d-aeff-92325dd631e9 New ItemGUID=30d6e968-bd07-405d-aeff-92325dd631e9 Old RevisionGUID=abb70f75-5808-4815-97cc-c6b55b50e4a6 New RevisionGUID=e82a4879-8232-478d-abe3-1a5de26feeaf
Change Managed Component Library Link : Designator=J2 Old VaultGUID=D814680C-BF6A-48BF-A460-F1E8172B4765 New VaultGUID=D814680C-BF6A-48BF-A460-F1E8172B4765 Old ItemGUID=30d6e968-bd07-405d-aeff-92325dd631e9 New ItemGUID=30d6e968-bd07-405d-aeff-92325dd631e9 Old RevisionGUID=abb70f75-5808-4815-97cc-c6b55b50e4a6 New RevisionGUID=e82a4879-8232-478d-abe3-1a5de26feeaf
Change component parameters: Designator = "R43" ("R43"); Footprint = "SMD_RES_0402(1005)_N"; UniqueID = "\TKWWRQBJ\IQZFYCUO" ("\TKWWRQBJ\IQZFYCUO")
Add component (AddParameter): Name = "ComponentLink13Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink13URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink14Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink14URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink15Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink15URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink16Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink16URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink17Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink17URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink18Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink18URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink19Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink19URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink20Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink20URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink21Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink21URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink22Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink22URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink23Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink23URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink24Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink24URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink25Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink25URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink26Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink26URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink27Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink27URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink28Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink28URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink29Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink29URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink30Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink30URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink31Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink31URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink32Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink32URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink33Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink33URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Construction"; Value = "Flat"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Core Material"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Saturation"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Current"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "C0G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric Characteristic"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "dielectric_characteristic"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "dielectric_material"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dissipation Factor"; Value = "0.1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EDA / CAD Models"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "equivalent_series_resistance_esr"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Featured Product"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency - Self Resonant"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency - Test"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Hold Current"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "inductance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance-Nom"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "isolation_voltage"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "0.7mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing (nom)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "lead_free_status"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "lifecycle_status"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifetime @ Temp."; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Name"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Detail Url"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Size Code"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material - Core"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material, Element"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Current Rating"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max DC Current"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Voltage Rating (DC)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum DC Current"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum DC Resistance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MFG"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MFG PN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order Quantity"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount,PCB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Style"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "mounting_style"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MSL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart Url"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "OctopartID"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Online Catalog"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Voltage"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temp Range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Max"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Min"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Other Names"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "pin_count"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 2"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Depth (mm)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Diameter (mm)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Height (mm)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Length (mm)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Status"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Training Modules"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Q @ Freq"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Q Factor"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Current-Max"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "reach_svhc_compliance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reeling"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RMS Current (Irms)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS - Mouser"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "rohs_status"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Saturation Current"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Self Resonant Frequency"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Seller Landing  Url"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shielding"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "size_length"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "size_thickness"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "size_width"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standard Package"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 2"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier PN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SVHC"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "30ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Terminal Material"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination Style"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Frequency"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.034inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Time to Trip"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance (%)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance (+ or -)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Trip Current"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage, Rating"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "voltage_rating_dc"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Working Voltage"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C48(RESC0603X06N)
Add component (AddParameter): Name = "Approvals"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Brand"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Brand/Series"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "27pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "capacitance_tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Size"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Size/Dimension"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "case_package"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Catalog Drawings"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ceramic Capacitor Case"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Name"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink0Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink7Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink7URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink8Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink8URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink9Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink9URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink10Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink10URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink11Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink11URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink12Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink12URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink13Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink13URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink14Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink14URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink15Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink15URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink16Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink16URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink17Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink17URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink18Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink18URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink19Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink19URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink20Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink20URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink21Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink21URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink22Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink22URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink23Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink23URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink24Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink24URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink25Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink25URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink26Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink26URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink27Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink27URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink28Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink28URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink29Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink29URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink30Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink30URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink31Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink31URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink32Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink32URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink33Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink33URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Construction"; Value = "Flat"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Core Material"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Saturation"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Current"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "C0G"; VariantName = "[No Variations]"
